ts,v,approach_lock,audio_ok,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_mode,depth_raw_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mission_active,mode,nav_on,pid_kd,pid_kp,port_us,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,stbd_us,uptime,wp_bearing,wp_count,wp_dist_m,wp_idx,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-07-03T12:27:09.123Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,154.2,165.8,134276,38.846474,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.64,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,6,true,1503,12,2098578137,0.1,1500,612,189.0,6,55.0,0,38.845985,-77.162163,true,,
2026-07-03T12:27:10.123Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1001,-0.6,296.8,1660,false,,off,,false,true,1500,153.3,164.9,134304,38.846474,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.95,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,6,true,1503,12,2098578137,0.1,1500,613,189.0,6,55.0,0,38.845985,-77.162163,true,,
2026-07-03T12:27:11.123Z,0.7.5,false,false,15.12,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,153.0,164.6,134292,38.846474,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.88,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,8,true,1503,12,2098578137,0.1,1500,614,189.0,6,55.0,0,38.845985,-77.162163,true,,
2026-07-03T12:27:12.124Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,152.3,163.9,134300,38.846478,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.79,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,4,true,1503,12,2098578137,0.1,1500,615,188.9,6,55.4,0,38.845985,-77.162163,true,,
2026-07-03T12:27:13.124Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,151.3,162.9,134308,38.846478,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.45,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1503,12,2098578137,0.1,1500,616,188.9,6,55.4,0,38.845985,-77.162163,true,,
2026-07-03T12:27:14.141Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,150.5,162.1,134288,38.846474,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.89,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1503,12,2098578137,0.1,1500,617,189.0,6,55.0,0,38.845985,-77.162163,true,,
2026-07-03T12:27:15.124Z,0.7.5,false,false,15.12,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,150.1,161.7,134280,38.846474,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.48,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,7,true,1503,12,2098578137,0.1,1500,618,189.0,6,55.0,0,38.845985,-77.162163,true,,
2026-07-03T12:27:16.125Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1700,false,,off,,false,true,1500,149.3,160.9,134308,38.846474,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.09,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,2,true,1503,12,2098578137,0.0,1500,619,189.0,6,55.0,0,38.845985,-77.162163,true,,
2026-07-03T12:27:17.141Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1700,false,,off,,false,true,1500,148.6,160.2,134296,38.846474,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.27,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,3,true,1503,12,2098578137,0.1,1500,620,189.0,6,55.0,0,38.845985,-77.162163,true,,
2026-07-03T12:27:18.158Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1700,false,,off,,false,true,1500,148.2,159.8,134304,38.846470,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.62,true,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,0,true,1503,12,2098578137,0.1,1500,621,189.1,6,54.6,0,38.845985,-77.162163,true,,
