ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T18:04:14.037Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,207.0,217.6,145076,38.846222,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.31,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1524,11,129474922,0.4,455,201.3,23.7,38.846024,-77.162102,true,,
2026-06-28T18:04:15.038Z,0.6.3,false,false,0.00,15.20,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,209.5,220.1,145068,38.846222,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.06,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1524,11,129474922,0.4,456,201.3,23.7,38.846024,-77.162102,true,,
2026-06-28T18:04:16.038Z,0.6.3,false,false,-0.00,15.21,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,211.0,221.6,145068,38.846218,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.11,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1524,11,129474922,0.2,457,201.5,23.3,38.846024,-77.162102,true,,
2026-06-28T18:04:17.038Z,0.6.3,false,false,0.00,15.21,false,false,false,false,false,none,1000,1571,1000,1500,1572,1000,0.4,128.4,1660,false,off,1500,false,true,1429,212.6,223.2,145068,38.846218,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.24,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1524,11,129474922,0.1,458,201.5,23.3,38.846024,-77.162102,true,,
2026-06-28T18:04:18.038Z,0.6.3,false,false,0.00,15.16,false,false,false,false,false,none,1000,1571,2000,1500,1572,1000,0.4,128.4,1660,false,off,1660,false,true,1429,214.3,224.8,145068,38.846218,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.15,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,1,true,1500,11,129474922,0.1,459,201.5,23.3,38.846024,-77.162102,true,38.846218,-77.162003
2026-06-28T18:04:19.038Z,0.6.3,false,false,-0.00,15.14,false,false,false,false,false,none,1000,1571,2000,1500,1572,1000,0.4,128.4,1660,false,off,1660,false,true,1429,216.1,226.7,145068,38.846218,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.64,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1500,11,129474922,0.6,460,201.5,23.3,38.846024,-77.162102,true,38.846218,-77.162003
2026-06-28T18:04:20.047Z,0.6.3,false,false,0.00,15.06,false,false,false,false,false,none,1000,1571,2000,1500,1572,1000,-1.7,173.7,1660,false,off,1660,false,true,1429,215.4,228.1,145068,38.846214,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.64,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1500,11,129474922,1.0,461,200.3,22.6,38.846024,-77.162102,true,38.846218,-77.162003
2026-06-28T18:04:21.047Z,0.6.3,false,false,0.00,15.08,false,false,false,false,false,none,1000,1571,2000,1500,1572,1000,-2.3,205.0,1660,false,off,1660,false,true,1429,217.1,230.4,145068,38.846210,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.84,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1500,11,129474922,1.5,462,201.1,22.2,38.846024,-77.162102,true,38.846218,-77.162003
2026-06-28T18:04:22.047Z,0.6.3,false,false,0.00,15.08,false,false,false,false,false,none,1000,1571,2000,1500,1572,1000,-2.6,212.1,1660,false,off,1660,false,true,1429,217.1,230.7,145068,38.846203,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.14,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1500,11,129474922,1.6,463,199.7,21.2,38.846024,-77.162102,true,38.846218,-77.162003
2026-06-28T18:04:23.064Z,0.6.3,false,false,0.00,15.14,false,false,false,false,false,none,1000,1571,2000,1500,1572,1000,-2.6,216.7,1660,false,off,1660,false,true,1429,218.5,232.1,145072,38.846195,-77.162025,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.07,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1500,11,129474922,1.8,464,199.0,20.2,38.846024,-77.162102,true,38.846218,-77.162003
