ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T21:12:41.877Z,0.6.5,,,0.00,15.08,,,,,false,,,,,,,,,106.9,,,,1661,false,true,,104.9,,,38.846676,-77.167168,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1520,12,,1.7,652,,6.5,,,true,,
2026-06-28T21:12:42.877Z,0.6.5,,,0.00,15.00,,,,,false,,,,,,,,,104.7,,,,1660,false,true,,105.7,,,38.846676,-77.167160,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1503,12,,1.8,653,,5.9,,,true,,
2026-06-28T21:12:43.877Z,0.6.5,,,0.00,15.06,,,,,false,,,,,,,,,105.5,,,,1660,false,true,,107.8,,,38.846672,-77.167152,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.7,654,,5.1,,,true,,
2026-06-28T21:12:44.877Z,0.6.5,,,0.00,15.16,,,,,true,,,,,,,,,107.8,,,,1500,false,true,,108.0,,,38.846672,-77.167137,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.7,655,,3.9,,,true,,
2026-06-28T21:12:45.877Z,0.6.5,,,0.00,15.16,,,,,true,,,,,,,,,106.4,,,,1500,false,true,,108.4,,,38.846668,-77.167130,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.5,656,,3.1,,,true,,
2026-06-28T21:12:46.877Z,0.6.5,,,0.00,15.16,,,,,true,,,,,,,,,107.5,,,,1500,false,true,,109.0,,,38.846668,-77.167122,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.2,657,,2.6,,,true,,
2026-06-28T21:12:47.880Z,0.6.5,,,0.00,15.15,,,,,true,,,,,,,,,109.8,,,,1500,false,true,,109.8,,,38.846664,-77.167114,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.1,658,,1.8,,,true,,
2026-06-28T21:12:48.880Z,0.6.5,,,0.00,15.16,,,,,true,,,,,,,,,110.2,,,,1500,false,true,,109.7,,,38.846664,-77.167107,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,0.9,659,,1.4,,,true,,
2026-06-28T21:12:49.880Z,0.6.5,,,0.00,15.16,,,,,true,,,,,,,,,108.8,,,,1500,false,true,,110.1,,,38.846661,-77.167107,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,0.8,660,,1.1,,,true,,
2026-06-28T21:12:50.881Z,0.6.5,,,0.00,15.16,,,,,true,,,,,,,,,111.2,,,,1588,false,true,,111.2,,,38.846661,-77.167099,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1595,12,,0.8,661,,0.8,,,true,,
